#{"t_start": 1703066414.5576081, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
55.652356,1000,5.258729,0.859,141
52.816667,1000,8.116641,0.877,123
53.283333,1000,22.427536,0.879,121
44.7,1000,25.745108,0.898,102
57.209524,1000,39.971604,0.869,131
55.816667,1000,42.990691,0.877,123
61.583333,1000,57.412563,0.867,133
61.75,1000,60.558271,0.862,138
66.2,1000,74.621922,0.85,150
65.85,1000,77.922099,0.856,144
78.583333,1000,92.131316,0.828,172
69.316667,1000,95.256626,0.847,153
69.916667,1000,109.572052,0.849,151
65.333333,1000,112.818984,0.857,143
83.666667,1000,126.996991,0.816,184
76.15,1000,130.005196,0.832,168
80.916667,1000,144.694989,0.826,174
90.192857,1000,147.944264,0.799,201
79.45,1000,162.557941,0.83,170
87.25,1000,165.921301,0.808,192
86.083333,1000,180.666593,0.807,193
97.45,1000,183.829288,0.787,213
91.483333,1000,197.353554,0.8,200
96.2,1000,200.501163,0.789,211
94.8,1000,214.645967,0.791,209
93.566667,1000,217.894435,0.79,210
96.4,1000,232.199854,0.79,210
95.384524,1000,235.458773,0.79,210
90.283333,1000,249.498063,0.805,195
100.666667,1000,252.681684,0.782,218
108.416667,1000,266.789895,0.766,234
103.516667,1000,269.759035,0.773,227
102.466667,1000,283.564945,0.773,227
100.266667,1000,286.502569,0.78,220
95.95,1000,300.11227,0.794,206
88.033333,1000,303.027847,0.811,189
110.366667,1000,316.580207,0.76,240
98.5,1000,319.485949,0.782,218
99.166667,1000,333.178644,0.783,217
105.95,1000,336.060645,0.761,239
105.7,1000,349.609176,0.772,228
100.566667,1000,352.511551,0.781,219
108.367857,1000,355.400126,0.76,240
104.95,1000,368.886495,0.771,229
103.7,1000,371.795692,0.774,226
103.65,1000,386.333674,0.773,227
94.966667,1000,389.465728,0.791,209
98.616667,1000,403.706736,0.78,220
110.216667,1000,407.08328,0.758,242
100.5,1000,420.633379,0.782,218
103.716667,1000,423.584617,0.772,228
100.483333,1000,437.93273,0.779,221
109.15,1000,441.261726,0.754,246
101.866667,1000,455.184259,0.778,222
97.65,1000,458.354787,0.789,211
109.883333,1000,473.177038,0.756,244
105.07619,1000,476.179734,0.768,232
105.65,1000,490.671075,0.772,228
114.116667,1000,493.673749,0.747,253
103.683333,1000,507.969811,0.773,227
109.316667,1000,511.033273,0.761,239
109.4,1000,525.702367,0.753,247
100.833333,1000,528.785724,0.778,222
105.192857,1000,542.943285,0.768,232
108.45,1000,545.942301,0.755,245
103.933333,1000,560.191191,0.772,228
102.95,1000,563.413377,0.776,224
107.05,1000,577.640033,0.765,235
99.709524,1000,580.57211,0.781,219
116.392857,1000,595.317314,0.74,260
103.916667,1000,597.968063,0.769,231
105.766667,1000,612.199023,0.766,234
108.766667,1000,615.191185,0.76,240
97.616667,1000,629.311743,0.787,213
113.933333,1000,632.539803,0.751,249
105.816667,1000,648.271351,0.768,232
111.683333,1000,651.905355,0.759,241
101.95,1000,666.373154,0.777,223
107.062302,1000,669.353189,0.762,238
113.683333,1000,683.172737,0.75,250
99.116667,1000,686.165736,0.784,216
106.666667,1000,700.736825,0.768,232
107.016667,1000,704.328242,0.77,230
99.483333,1000,719.753996,0.783,217
114.5,1000,722.883792,0.746,254
103.366667,1000,726.024704,0.776,224
107.033333,1000,740.242025,0.768,232
106.133333,1000,743.394336,0.766,234
100.45,1000,757.692236,0.782,218
101.55,1000,760.817534,0.776,224
107.142857,1000,775.159485,0.759,241
95.583333,1000,778.293347,0.793,207
103.283333,1000,793.273093,0.774,226
101.15,1000,796.507647,0.779,221
